service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
12345,1,1,1,1,1,0,0,20230101,20231231
6,0,0,0,0,0,1,0,20230101,20231231
0,0,0,0,0,0,0,1,20230101,20231231
06,0,0,0,0,0,1,1,20230101,20231231
12,1,1,0,0,0,0,0,20230101,20231231
3,0,0,1,0,0,0,0,20230101,20231231
45,0,0,0,1,1,0,0,20230101,20231231
0123456,1,1,1,1,1,1,1,20230101,20231231
1,1,0,0,0,0,0,0,20230101,20231231
2,0,1,0,0,0,0,0,20230101,20231231
4,0,0,0,1,0,0,0,20230101,20231231
5,0,0,0,0,1,0,0,20230101,20231231
