route_id,route_type,route_short_name,route_long_name,route_url
3,3,3,Agios Athanasios - Mesa Geitonia - Kalogries,https://www.cyprusbybus.com/RouteDetails.aspx?id=3
5,3,4,Road & Traffic Authority - Leontiou EMEL Station - Old Market - TEPAK,https://www.cyprusbybus.com/RouteDetails.aspx?id=5
392,3,4A,TEPAK - Old Market - Leontiou EMEL Station - Road & Traffic Authority,https://www.cyprusbybus.com/RouteDetails.aspx?id=392
383,3,5,General Hospital - Agios Ioannis - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=383
7,3,5,(A) General Hospital - Agios Ioannis - Leontiou EMEL Station - Old Market - TEPAK,https://www.cyprusbybus.com/RouteDetails.aspx?id=7
9,3,7,My Mall- Ypsonas Industrial Area - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=9
393,3,7A,My Mall- Ipsonas Industrial Area - Leontiou EMEL Station - Old Market -TEPAK,https://www.cyprusbybus.com/RouteDetails.aspx?id=393
284,3,9,Agia Fyla - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=284
243,3,9A,Palodeia - Kallithea - Agia Fyla - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=243
15,3,11,Ag. Athanasios Housing Finance Agency - Enaerios - Ag. Athanasios Industrial Area - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=15
17,3,12,Moutagiaka - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=17
19,3,13,Germasogia - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=19
394,3,13A,Akrounta - Germasogia - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=394
556,3,13B,Foinikaria - Germasogia - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=556
557,3,13C,Akrounta - Foinikaria - Germasogia - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=557
21,3,14,Estias (Agios Athanasios) - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=21
558,3,14B,Mathikoloni - Agios Athanasios - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=558
23,3,15,General Hospital - Makariou - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=23
222,3,16,Episkopi - Episkopiana Hotel - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=222
215,3,16B,Agios Ermogenis - Episkopi - Club Aphrodite - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=215
396,3,16B,Kourion Beach - Agios Ermogenis - Episkopi - Club Aphrodite - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=396
28,3,17,Kolossi (Castle) - Leontiou EMEL Station,https://www.cyprusbybus.com/RouteDetails.aspx?id=28
