trip_id,stop_id,stop_sequence,departure_time,arrival_time,timepoint
3_12345_0,4986,5,06:20:00,06:20:00,1
3_12345_0,7165,10,,,0
3_12345_0,44,15,,,0
3_12345_0,45,20,,,0
3_12345_0,6754,25,,,0
3_12345_0,6753,30,,,0
3_12345_0,7193,35,,,0
3_12345_0,6752,40,,,0
3_12345_0,4770,45,,,0
3_12345_0,348,50,,,0
3_12345_0,51,55,,,0
3_12345_0,52,60,,,0
3_12345_0,55,65,,,0
3_12345_0,56,70,,,0
3_12345_0,59,75,,,0
3_12345_0,60,80,,,0
3_12345_0,61,85,,,0
3_12345_0,62,90,,,0
3_12345_0,63,95,,,0
3_12345_0,6755,100,,,0
3_12345_0,65,105,,,0
3_12345_0,369,110,,,0
3_12345_0,6750,115,,,0
3_12345_0,812,120,,,0
3_12345_0,114,125,,,0
3_12345_0,814,130,,,0
3_12345_0,6746,135,,,0
3_12345_0,4955,140,,,0
3_12345_0,761,145,,,0
3_12345_0,775,150,,,0
3_12345_0,758,155,,,0
3_12345_0,75,160,06:50:00,06:50:00,1
3_12345_1,4986,5,06:45:00,06:45:00,1
3_12345_1,7165,10,,,0
3_12345_1,44,15,,,0
3_12345_1,45,20,,,0
3_12345_1,6754,25,,,0
3_12345_1,6753,30,,,0
3_12345_1,7193,35,,,0
3_12345_1,6752,40,,,0
3_12345_1,4770,45,,,0
3_12345_1,348,50,,,0
3_12345_1,51,55,,,0
3_12345_1,52,60,,,0
3_12345_1,55,65,,,0
3_12345_1,56,70,,,0
3_12345_1,59,75,,,0
3_12345_1,60,80,,,0
3_12345_1,61,85,,,0
3_12345_1,62,90,,,0
3_12345_1,63,95,,,0
3_12345_1,6755,100,,,0
3_12345_1,65,105,,,0
3_12345_1,369,110,,,0
3_12345_1,6750,115,,,0
3_12345_1,812,120,,,0
3_12345_1,114,125,,,0
3_12345_1,814,130,,,0
3_12345_1,6746,135,,,0
3_12345_1,4955,140,,,0
3_12345_1,761,145,,,0
3_12345_1,775,150,,,0
3_12345_1,758,155,,,0
3_12345_1,75,160,07:15:00,07:15:00,1
3_12345_2,4986,5,07:30:00,07:30:00,1
3_12345_2,7165,10,,,0
3_12345_2,44,15,,,0
3_12345_2,45,20,,,0
3_12345_2,6754,25,,,0
3_12345_2,6753,30,,,0
3_12345_2,7193,35,,,0
3_12345_2,6752,40,,,0
3_12345_2,4770,45,,,0
3_12345_2,348,50,,,0
3_12345_2,51,55,,,0
3_12345_2,52,60,,,0
3_12345_2,55,65,,,0
3_12345_2,56,70,,,0
3_12345_2,59,75,,,0
3_12345_2,60,80,,,0
3_12345_2,61,85,,,0
3_12345_2,62,90,,,0
3_12345_2,63,95,,,0
3_12345_2,6755,100,,,0
3_12345_2,65,105,,,0
3_12345_2,369,110,,,0
3_12345_2,6750,115,,,0
3_12345_2,812,120,,,0
3_12345_2,114,125,,,0
3_12345_2,814,130,,,0
3_12345_2,6746,135,,,0
3_12345_2,4955,140,,,0
3_12345_2,761,145,,,0
3_12345_2,775,150,,,0
3_12345_2,758,155,,,0
3_12345_2,75,160,08:00:00,08:00:00,1
3_12345_3,4986,5,08:10:00,08:10:00,1
3_12345_3,7165,10,,,0
3_12345_3,44,15,,,0
3_12345_3,45,20,,,0
3_12345_3,6754,25,,,0
3_12345_3,6753,30,,,0
3_12345_3,7193,35,,,0
3_12345_3,6752,40,,,0
3_12345_3,4770,45,,,0
3_12345_3,348,50,,,0
3_12345_3,51,55,,,0
3_12345_3,52,60,,,0
3_12345_3,55,65,,,0
3_12345_3,56,70,,,0
3_12345_3,59,75,,,0
3_12345_3,60,80,,,0
3_12345_3,61,85,,,0
3_12345_3,62,90,,,0
3_12345_3,63,95,,,0
3_12345_3,6755,100,,,0
3_12345_3,65,105,,,0
3_12345_3,369,110,,,0
3_12345_3,6750,115,,,0
3_12345_3,812,120,,,0
3_12345_3,114,125,,,0
3_12345_3,814,130,,,0
3_12345_3,6746,135,,,0
3_12345_3,4955,140,,,0
3_12345_3,761,145,,,0
3_12345_3,775,150,,,0
3_12345_3,758,155,,,0
3_12345_3,75,160,08:40:00,08:40:00,1
3_12345_4,4986,5,09:00:00,09:00:00,1
