route_id,service_id,trip_id
3,12345,3_12345_0
3,12345,3_12345_1
3,12345,3_12345_2
3,12345,3_12345_3
3,12345,3_12345_4
3,12345,3_12345_5
3,12345,3_12345_6
3,12345,3_12345_7
3,12345,3_12345_8
3,12345,3_12345_9
3,12345,3_12345_10
3,12345,3_12345_11
3,12345,3_12345_12
3,12345,3_12345_13
3,12345,3_12345_14
3,6,3_6_0
3,6,3_6_1
3,6,3_6_2
3,6,3_6_3
3,6,3_6_4
3,6,3_6_5
3,6,3_6_6
3,6,3_6_7
3,0,3_0_0
3,0,3_0_1
3,0,3_0_2
3,0,3_0_3
3,0,3_0_4
3,0,3_0_5
5,12345,5_12345_0
5,12345,5_12345_1
5,12345,5_12345_2
5,12345,5_12345_3
5,12345,5_12345_4
5,12345,5_12345_5
5,12345,5_12345_6
5,12345,5_12345_7
5,12345,5_12345_8
5,12345,5_12345_9
5,12345,5_12345_10
5,12345,5_12345_11
5,12345,5_12345_12
5,12345,5_12345_13
5,12345,5_12345_14
5,12345,5_12345_15
5,12345,5_12345_16
5,12345,5_12345_17
5,12345,5_12345_18
5,12345,5_12345_19
5,12345,5_12345_20
5,12345,5_12345_21
5,6,5_6_0
5,6,5_6_1
5,6,5_6_2
5,6,5_6_3
5,6,5_6_4
5,6,5_6_5
5,6,5_6_6
5,6,5_6_7
5,6,5_6_8
5,6,5_6_9
5,0,5_0_0
5,0,5_0_1
5,0,5_0_2
5,0,5_0_3
5,0,5_0_4
5,0,5_0_5
5,0,5_0_6
392,12345,392_12345_0
392,12345,392_12345_1
392,6,392_6_0
392,6,392_6_1
392,6,392_6_2
392,6,392_6_3
392,6,392_6_4
392,0,392_0_0
392,0,392_0_1
392,0,392_0_2
7,12345,7_12345_0
7,12345,7_12345_1
7,12345,7_12345_2
7,12345,7_12345_3
7,12345,7_12345_4
7,12345,7_12345_5
7,12345,7_12345_6
7,12345,7_12345_7
7,12345,7_12345_8
7,12345,7_12345_9
7,12345,7_12345_10
7,12345,7_12345_11
7,12345,7_12345_12
7,12345,7_12345_13
7,12345,7_12345_14
7,12345,7_12345_15
7,12345,7_12345_16
7,12345,7_12345_17
7,12345,7_12345_18
7,12345,7_12345_19
7,12345,7_12345_20
7,12345,7_12345_21
7,12345,7_12345_22
7,6,7_6_0
7,6,7_6_1
7,6,7_6_2
7,6,7_6_3
7,6,7_6_4
7,6,7_6_5
7,6,7_6_6
7,6,7_6_7
7,6,7_6_8
7,0,7_0_0
7,0,7_0_1
7,0,7_0_2
7,0,7_0_3
7,0,7_0_4
7,0,7_0_5
9,12345,9_12345_0
9,12345,9_12345_1
9,12345,9_12345_2
9,12345,9_12345_3
9,12345,9_12345_4
9,12345,9_12345_5
9,12345,9_12345_6
9,12345,9_12345_7
9,12345,9_12345_8
9,12345,9_12345_9
9,12345,9_12345_10
9,12345,9_12345_11
9,12345,9_12345_12
9,12345,9_12345_13
9,12345,9_12345_14
9,12345,9_12345_15
9,12345,9_12345_16
9,12345,9_12345_17
9,12345,9_12345_18
9,12345,9_12345_19
9,12345,9_12345_20
9,6,9_6_0
9,6,9_6_1
9,6,9_6_2
9,6,9_6_3
9,6,9_6_4
9,6,9_6_5
9,6,9_6_6
9,6,9_6_7
9,6,9_6_8
9,6,9_6_9
9,6,9_6_10
9,6,9_6_11
9,0,9_0_0
9,0,9_0_1
9,0,9_0_2
9,0,9_0_3
9,0,9_0_4
9,0,9_0_5
9,0,9_0_6
9,0,9_0_7
9,0,9_0_8
393,12345,393_12345_0
393,12345,393_12345_1
393,6,393_6_0
393,6,393_6_1
393,6,393_6_2
393,6,393_6_3
393,6,393_6_4
393,6,393_6_5
393,0,393_0_0
393,0,393_0_1
393,0,393_0_2
393,0,393_0_3
284,12345,284_12345_0
284,12345,284_12345_1
284,12345,284_12345_2
284,12345,284_12345_3
284,12345,284_12345_4
284,12345,284_12345_5
284,12345,284_12345_6
284,12345,284_12345_7
284,12345,284_12345_8
284,12345,284_12345_9
284,12345,284_12345_10
284,12345,284_12345_11
284,12345,284_12345_12
284,12345,284_12345_13
284,12345,284_12345_14
284,12345,284_12345_15
284,12345,284_12345_16
284,6,284_6_0
284,6,284_6_1
284,6,284_6_2
284,6,284_6_3
284,6,284_6_4
284,6,284_6_5
284,0,284_0_0
284,0,284_0_1
284,0,284_0_2
284,0,284_0_3
284,0,284_0_4
243,12345,243_12345_0
243,12345,243_12345_1
243,12345,243_12345_2
243,12345,243_12345_3
243,6,243_6_0
243,6,243_6_1
243,0,243_0_0
243,0,243_0_1
15,12345,15_12345_0
15,12345,15_12345_1
15,12345,15_12345_2
15,12345,15_12345_3
15,12345,15_12345_4
15,12345,15_12345_5
15,12345,15_12345_6
15,12345,15_12345_7
15,12345,15_12345_8
15,12345,15_12345_9
15,12345,15_12345_10
15,12345,15_12345_11
15,12345,15_12345_12
15,6,15_6_0
15,6,15_6_1
15,6,15_6_2
15,6,15_6_3
15,6,15_6_4
15,6,15_6_5
15,6,15_6_6
15,6,15_6_7
15,0,15_0_0
15,0,15_0_1
15,0,15_0_2
15,0,15_0_3
17,12345,17_12345_0
17,12345,17_12345_1
17,12345,17_12345_2
17,12345,17_12345_3
17,12345,17_12345_4
17,6,17_6_0
17,6,17_6_1
17,0,17_0_0
17,0,17_0_1
19,12345,19_12345_0
19,12345,19_12345_1
19,12345,19_12345_2
19,12345,19_12345_3
19,12345,19_12345_4
19,12345,19_12345_5
19,12345,19_12345_6
19,12345,19_12345_7
19,12345,19_12345_8
19,12345,19_12345_9
19,12345,19_12345_10
19,12345,19_12345_11
19,12345,19_12345_12
19,12345,19_12345_13
19,12345,19_12345_14
19,12345,19_12345_15
19,12345,19_12345_16
19,12345,19_12345_17
19,12345,19_12345_18
19,12345,19_12345_19
19,12345,19_12345_20
